"tstat","ptype","value","n","tau","EY","B","R","H0A","H0Y","seed"
"T11","rho.sharp",0.705,20,5,0.5,200,100,TRUE,TRUE,8000001
"T11","rho.oracle",0.665,20,5,0.5,200,100,TRUE,TRUE,8000001
"T11","rho.plug",0.725,20,5,0.5,200,100,TRUE,TRUE,8000001
"T11","rho.adj",0.73,20,5,0.5,200,100,TRUE,TRUE,8000001
"T12","rho.sharp",0.76,20,5,0.5,200,100,TRUE,TRUE,8000001
"T12","rho.oracle",0.695,20,5,0.5,200,100,TRUE,TRUE,8000001
"T12","rho.plug",0.775,20,5,0.5,200,100,TRUE,TRUE,8000001
"T12","rho.adj",0.77,20,5,0.5,200,100,TRUE,TRUE,8000001
"T13","rho.sharp",0.65,20,5,0.5,200,100,TRUE,TRUE,8000001
"T13","rho.oracle",0.6,20,5,0.5,200,100,TRUE,TRUE,8000001
"T13","rho.plug",0.64,20,5,0.5,200,100,TRUE,TRUE,8000001
"T13","rho.adj",0.63,20,5,0.5,200,100,TRUE,TRUE,8000001
"T21","rho.sharp",0.685,20,5,0.5,200,100,TRUE,TRUE,8000001
"T21","rho.oracle",0.665,20,5,0.5,200,100,TRUE,TRUE,8000001
"T21","rho.plug",0.67,20,5,0.5,200,100,TRUE,TRUE,8000001
"T21","rho.adj",0.65,20,5,0.5,200,100,TRUE,TRUE,8000001
"T22","rho.sharp",0.77,20,5,0.5,200,100,TRUE,TRUE,8000001
"T22","rho.oracle",0.72,20,5,0.5,200,100,TRUE,TRUE,8000001
"T22","rho.plug",0.785,20,5,0.5,200,100,TRUE,TRUE,8000001
"T22","rho.adj",0.78,20,5,0.5,200,100,TRUE,TRUE,8000001
"T23","rho.sharp",0.64,20,5,0.5,200,100,TRUE,TRUE,8000001
"T23","rho.oracle",0.605,20,5,0.5,200,100,TRUE,TRUE,8000001
"T23","rho.plug",0.625,20,5,0.5,200,100,TRUE,TRUE,8000001
"T23","rho.adj",0.61,20,5,0.5,200,100,TRUE,TRUE,8000001
"T31","rho.sharp",0.74,20,5,0.5,200,100,TRUE,TRUE,8000001
"T31","rho.oracle",0.69,20,5,0.5,200,100,TRUE,TRUE,8000001
"T31","rho.plug",0.755,20,5,0.5,200,100,TRUE,TRUE,8000001
"T31","rho.adj",0.8,20,5,0.5,200,100,TRUE,TRUE,8000001
"T32","rho.sharp",0.765,20,5,0.5,200,100,TRUE,TRUE,8000001
"T32","rho.oracle",0.72,20,5,0.5,200,100,TRUE,TRUE,8000001
"T32","rho.plug",0.78,20,5,0.5,200,100,TRUE,TRUE,8000001
"T32","rho.adj",0.83,20,5,0.5,200,100,TRUE,TRUE,8000001
"T33","rho.sharp",0.65,20,5,0.5,200,100,TRUE,TRUE,8000001
"T33","rho.oracle",0.61,20,5,0.5,200,100,TRUE,TRUE,8000001
"T33","rho.plug",0.665,20,5,0.5,200,100,TRUE,TRUE,8000001
"T33","rho.adj",0.69,20,5,0.5,200,100,TRUE,TRUE,8000001
"T41","rho.sharp",0.74,20,5,0.5,200,100,TRUE,TRUE,8000001
"T41","rho.oracle",0.69,20,5,0.5,200,100,TRUE,TRUE,8000001
"T41","rho.plug",0.755,20,5,0.5,200,100,TRUE,TRUE,8000001
"T41","rho.adj",0.8,20,5,0.5,200,100,TRUE,TRUE,8000001
"T42","rho.sharp",0.765,20,5,0.5,200,100,TRUE,TRUE,8000001
"T42","rho.oracle",0.72,20,5,0.5,200,100,TRUE,TRUE,8000001
"T42","rho.plug",0.78,20,5,0.5,200,100,TRUE,TRUE,8000001
"T42","rho.adj",0.83,20,5,0.5,200,100,TRUE,TRUE,8000001
"T43","rho.sharp",0.65,20,5,0.5,200,100,TRUE,TRUE,8000001
"T43","rho.oracle",0.61,20,5,0.5,200,100,TRUE,TRUE,8000001
"T43","rho.plug",0.665,20,5,0.5,200,100,TRUE,TRUE,8000001
"T43","rho.adj",0.69,20,5,0.5,200,100,TRUE,TRUE,8000001
"T11","rho.sharp",0.845,80,20,0.5,200,NA,TRUE,TRUE,8000001
"T11","rho.oracle",0.905,80,20,0.5,200,NA,TRUE,TRUE,8000001
"T11","rho.plug",0.885,80,20,0.5,200,NA,TRUE,TRUE,8000001
"T11","rho.adj",NA,80,20,0.5,200,NA,TRUE,TRUE,8000001
"T12","rho.sharp",0.865,80,20,0.5,200,NA,TRUE,TRUE,8000001
"T12","rho.oracle",0.915,80,20,0.5,200,NA,TRUE,TRUE,8000001
"T12","rho.plug",0.89,80,20,0.5,200,NA,TRUE,TRUE,8000001
"T12","rho.adj",NA,80,20,0.5,200,NA,TRUE,TRUE,8000001
"T13","rho.sharp",0.84,80,20,0.5,200,NA,TRUE,TRUE,8000001
"T13","rho.oracle",0.88,80,20,0.5,200,NA,TRUE,TRUE,8000001
"T13","rho.plug",0.87,80,20,0.5,200,NA,TRUE,TRUE,8000001
