"tstat","ptype","value","n","tau","EY","B","R","H0A","H0Y","seed"
"T23","rho.adj",NA,80,20,0.5,200,NA,TRUE,TRUE,1
"T31","rho.sharp",0.575,80,20,0.5,200,NA,TRUE,TRUE,1
"T31","rho.oracle",0.575,80,20,0.5,200,NA,TRUE,TRUE,1
"T31","rho.plug",0.545,80,20,0.5,200,NA,TRUE,TRUE,1
"T31","rho.adj",NA,80,20,0.5,200,NA,TRUE,TRUE,1
"T32","rho.sharp",0.555,80,20,0.5,200,NA,TRUE,TRUE,1
"T32","rho.oracle",0.555,80,20,0.5,200,NA,TRUE,TRUE,1
"T32","rho.plug",0.51,80,20,0.5,200,NA,TRUE,TRUE,1
"T32","rho.adj",NA,80,20,0.5,200,NA,TRUE,TRUE,1
"T33","rho.sharp",0.515,80,20,0.5,200,NA,TRUE,TRUE,1
"T33","rho.oracle",0.515,80,20,0.5,200,NA,TRUE,TRUE,1
"T33","rho.plug",0.49,80,20,0.5,200,NA,TRUE,TRUE,1
"T33","rho.adj",NA,80,20,0.5,200,NA,TRUE,TRUE,1
"T41","rho.sharp",0.575,80,20,0.5,200,NA,TRUE,TRUE,1
"T41","rho.oracle",0.575,80,20,0.5,200,NA,TRUE,TRUE,1
"T41","rho.plug",0.545,80,20,0.5,200,NA,TRUE,TRUE,1
"T41","rho.adj",NA,80,20,0.5,200,NA,TRUE,TRUE,1
"T42","rho.sharp",0.555,80,20,0.5,200,NA,TRUE,TRUE,1
"T42","rho.oracle",0.555,80,20,0.5,200,NA,TRUE,TRUE,1
"T42","rho.plug",0.51,80,20,0.5,200,NA,TRUE,TRUE,1
"T42","rho.adj",NA,80,20,0.5,200,NA,TRUE,TRUE,1
"T43","rho.sharp",0.515,80,20,0.5,200,NA,TRUE,TRUE,1
"T43","rho.oracle",0.515,80,20,0.5,200,NA,TRUE,TRUE,1
"T43","rho.plug",0.49,80,20,0.5,200,NA,TRUE,TRUE,1
"T43","rho.adj",NA,80,20,0.5,200,NA,TRUE,TRUE,1
"T11","rho.sharp",0.145,20,5,0.5,200,100,FALSE,TRUE,1
"T11","rho.oracle",0.915,20,5,0.5,200,100,FALSE,TRUE,1
"T11","rho.plug",0.935,20,5,0.5,200,100,FALSE,TRUE,1
"T11","rho.adj",0.94,20,5,0.5,200,100,FALSE,TRUE,1
"T12","rho.sharp",0.05,20,5,0.5,200,100,FALSE,TRUE,1
"T12","rho.oracle",0.755,20,5,0.5,200,100,FALSE,TRUE,1
"T12","rho.plug",0.85,20,5,0.5,200,100,FALSE,TRUE,1
"T12","rho.adj",0.88,20,5,0.5,200,100,FALSE,TRUE,1
"T13","rho.sharp",0.515,20,5,0.5,200,100,FALSE,TRUE,1
"T13","rho.oracle",0.795,20,5,0.5,200,100,FALSE,TRUE,1
