"param","est","true","sd","n","tau","EY","B","H0A","H0Y","seed"
"p1",-0.770020932622166,-0.5,0.230836570398356,24,5,0.5,200,TRUE,TRUE,1
"p2",0.181783744955737,0,0.167577592066565,24,5,0.5,200,TRUE,TRUE,1
"p3",0.171230044441707,0,0.163859419785379,24,5,0.5,200,TRUE,TRUE,1
"p4",-0.277868506105965,0,0.231574252248227,24,5,0.5,200,TRUE,TRUE,1
"m1",-0.0891781553132736,-0.5,0.272465229595779,24,5,0.5,200,TRUE,TRUE,1
"m2",-0.375402180083021,0,0.200345272791487,24,5,0.5,200,TRUE,TRUE,1
"m3",-0.210552605021238,0,0.195542986929166,24,5,0.5,200,TRUE,TRUE,1
"m4",0.393071053129,0,0.286208359017502,24,5,0.5,200,TRUE,TRUE,1
"p1",-0.567940163198203,-0.5,0.0692269160665449,48,10,0.5,200,TRUE,TRUE,1
"p2",0.0765170848356097,0,0.0531745318111009,48,10,0.5,200,TRUE,TRUE,1
"p3",0.0183708237030727,0,0.0524971993349925,48,10,0.5,200,TRUE,TRUE,1
"p4",-0.064979915167904,0,0.0741883657691112,48,10,0.5,200,TRUE,TRUE,1
"m1",-0.488526303479711,-0.5,0.0879592354480893,48,10,0.5,200,TRUE,TRUE,1
"m2",0.0190809598970244,0,0.0670282575520485,48,10,0.5,200,TRUE,TRUE,1
"m3",0.00470751761313361,0,0.066813257122454,48,10,0.5,200,TRUE,TRUE,1
"m4",0.00770045192997375,0,0.0936287451784289,48,10,0.5,200,TRUE,TRUE,1
"p1",-0.604136620061775,-0.2,0.236860041563862,24,5,0.5,200,FALSE,TRUE,1
"p2",0.160893297765694,0,0.172246399565881,24,5,0.5,200,FALSE,TRUE,1
"p3",0.158170358111415,0,0.168156560901678,24,5,0.5,200,FALSE,TRUE,1
"p4",-1.12959230180694,-1,0.247796261626931,24,5,0.5,200,FALSE,TRUE,1
"m1",0.0621886431420823,-0.2,0.272010164296034,24,5,0.5,200,FALSE,TRUE,1
"m2",-0.211494746441646,0,0.199521790994,24,5,0.5,200,FALSE,TRUE,1
"m3",-0.161394535769726,0,0.196842589000066,24,5,0.5,200,FALSE,TRUE,1
"m4",-0.736969896742562,-1,0.340422370050549,24,5,0.5,200,FALSE,TRUE,1
"p1",-0.226069087676495,-0.2,0.0716419274625891,48,10,0.5,200,FALSE,TRUE,1
"p2",0.0504986397159083,0,0.0552049573264992,48,10,0.5,200,FALSE,TRUE,1
