"param","est","true","sd","n","tau","EY","B","H0A","H0Y","seed"
"p1",-0.407472751328266,-0.5,0.201221565083215,24,5,0.5,200,TRUE,TRUE,2000001
"p2",-0.180728540988219,0,0.153861273055346,24,5,0.5,200,TRUE,TRUE,2000001
"p3",-0.0043820567261194,0,0.155486200269545,24,5,0.5,200,TRUE,TRUE,2000001
"p4",0.265977234430304,0,0.223609436981349,24,5,0.5,200,TRUE,TRUE,2000001
"m1",-1.02279974171838,-0.5,0.283194131305513,24,5,0.5,200,TRUE,TRUE,2000001
"m2",0.154269434841773,0,0.214142857832358,24,5,0.5,200,TRUE,TRUE,2000001
"m3",0.452536537576886,0,0.204798762790724,24,5,0.5,200,TRUE,TRUE,2000001
"m4",-0.558541360383082,0,0.302950423032841,24,5,0.5,200,TRUE,TRUE,2000001
"p1",-0.520133936070802,-0.5,0.0738918529407715,48,10,0.5,200,TRUE,TRUE,2000001
"p2",-0.00859215036612842,0,0.0538145228354859,48,10,0.5,200,TRUE,TRUE,2000001
"p3",0.0564227897257811,0,0.0523756605767312,48,10,0.5,200,TRUE,TRUE,2000001
"p4",0.00678101492579728,0,0.0747580229004429,48,10,0.5,200,TRUE,TRUE,2000001
"m1",-0.27556465450578,-0.5,0.0906918753829408,48,10,0.5,200,TRUE,TRUE,2000001
"m2",-0.105604824367032,0,0.0670140159644666,48,10,0.5,200,TRUE,TRUE,2000001
"m3",-0.190050079341728,0,0.0666903808935421,48,10,0.5,200,TRUE,TRUE,2000001
"m4",0.195699438856738,0,0.0936197320074521,48,10,0.5,200,TRUE,TRUE,2000001
"p1",-0.0119355045925543,-0.2,0.211157254729685,24,5,0.5,200,FALSE,TRUE,2000001
"p2",-0.313213019202768,0,0.161738498956998,24,5,0.5,200,FALSE,TRUE,2000001
"p3",-0.0765145321115654,0,0.162701742280255,24,5,0.5,200,FALSE,TRUE,2000001
"p4",-0.766234984664178,-1,0.239744157952165,24,5,0.5,200,FALSE,TRUE,2000001
"m1",-0.558698201372931,-0.2,0.258788211566616,24,5,0.5,200,FALSE,TRUE,2000001
"m2",-0.0178473884074043,0,0.203856088545596,24,5,0.5,200,FALSE,TRUE,2000001
"m3",0.386533431799049,0,0.195074556566709,24,5,0.5,200,FALSE,TRUE,2000001
"m4",-1.57850685038484,-1,0.40265621469231,24,5,0.5,200,FALSE,TRUE,2000001
"p1",-0.193492320035658,-0.2,0.0765399641907868,48,10,0.5,200,FALSE,TRUE,2000001
"p2",-0.0347083582949281,0,0.0558401530989566,48,10,0.5,200,FALSE,TRUE,2000001
"p3",0.0463982278512343,0,0.0542993266078851,48,10,0.5,200,FALSE,TRUE,2000001
"p4",-0.970802793455878,-1,0.0793828369936925,48,10,0.5,200,FALSE,TRUE,2000001
"m1",-0.0629688499476011,-0.2,0.0880189002284729,48,10,0.5,200,FALSE,TRUE,2000001
"m2",0.0195321210195163,0,0.0650346322820612,48,10,0.5,200,FALSE,TRUE,2000001
"m3",-0.139720866178166,0,0.0646912453511242,48,10,0.5,200,FALSE,TRUE,2000001
"m4",-0.949373918115905,-1,0.109826536828252,48,10,0.5,200,FALSE,TRUE,2000001
"p1",0.0568518083929498,-0.2,0.249567403102952,24,5,0.5,200,FALSE,FALSE,2000001
"p2",-0.25742259431459,0,0.170370963054742,24,5,0.5,200,FALSE,FALSE,2000001
"p3",-0.285327155346538,0,0.166279165053115,24,5,0.5,200,FALSE,FALSE,2000001
"p4",-0.398005434330519,-1,0.229158344420508,24,5,0.5,200,FALSE,FALSE,2000001
"m1",-0.0385650282047737,-0.2,0.29296562847819,24,5,0.5,200,FALSE,FALSE,2000001
"m2",-0.19563429189152,0,0.199989947731803,24,5,0.5,200,FALSE,FALSE,2000001
"m3",-0.13410681505046,0,0.207098879690539,24,5,0.5,200,FALSE,FALSE,2000001
"m4",-0.477408010345678,-1,0.326652214984248,24,5,0.5,200,FALSE,FALSE,2000001
"p1",-0.155850677329778,-0.2,0.0770115751895677,48,10,0.5,200,FALSE,FALSE,2000001
"p2",0.00783269970524075,0,0.0538178921989176,48,10,0.5,200,FALSE,FALSE,2000001
"p3",-0.0144426288488593,0,0.054381064885727,48,10,0.5,200,FALSE,FALSE,2000001
"p4",-0.981885802137005,-1,0.0779323014994974,48,10,0.5,200,FALSE,FALSE,2000001
"m1",-0.251444969034026,-0.2,0.0907425277905627,48,10,0.5,200,FALSE,FALSE,2000001
"m2",0.0967767913255223,0,0.0633447953033995,48,10,0.5,200,FALSE,FALSE,2000001
