"param","est","true","sd","n","tau","EY","B","H0A","H0Y","seed"
"p1",-0.413250087315043,-0.5,0.213426439054101,24,5,0.5,200,TRUE,TRUE,9000001
"p2",0.105079933288637,0,0.163098776944312,24,5,0.5,200,TRUE,TRUE,9000001
"p3",-0.338602797324267,0,0.164039486345482,24,5,0.5,200,TRUE,TRUE,9000001
"p4",0.239942398872121,0,0.231863260015839,24,5,0.5,200,TRUE,TRUE,9000001
"m1",-0.712417772402688,-0.5,0.276521251042162,24,5,0.5,200,TRUE,TRUE,9000001
"m2",0.249423906245418,0,0.203745552793459,24,5,0.5,200,TRUE,TRUE,9000001
"m3",0.264880483792162,0,0.209047551979257,24,5,0.5,200,TRUE,TRUE,9000001
"m4",-0.511803898041091,0,0.29175157258617,24,5,0.5,200,TRUE,TRUE,9000001
"p1",-0.5500578538999,-0.5,0.0714245397866057,48,10,0.5,200,TRUE,TRUE,9000001
"p2",0.0850143486185311,0,0.0527191005951572,48,10,0.5,200,TRUE,TRUE,9000001
"p3",-0.00422508254882174,0,0.0524469190307411,48,10,0.5,200,TRUE,TRUE,9000001
"p4",-0.0847004028698609,0,0.073493656505155,48,10,0.5,200,TRUE,TRUE,9000001
"m1",-0.415545115859589,-0.5,0.0896712338485891,48,10,0.5,200,TRUE,TRUE,9000001
"m2",-0.0641723207058675,0,0.066765906461504,48,10,0.5,200,TRUE,TRUE,9000001
"m3",-0.0491032063388839,0,0.0674226712796795,48,10,0.5,200,TRUE,TRUE,9000001
"m4",0.0377753757460906,0,0.0955754546447329,48,10,0.5,200,TRUE,TRUE,9000001
"p1",0.0333842530746499,-0.2,0.218528823086755,24,5,0.5,200,FALSE,TRUE,9000001
"p2",-0.00523000390743694,0,0.166311038473798,24,5,0.5,200,FALSE,TRUE,9000001
"p3",-0.323928440711198,0,0.165832254471121,24,5,0.5,200,FALSE,TRUE,9000001
"p4",-0.6756315494438,-1,0.238376638375894,24,5,0.5,200,FALSE,TRUE,9000001
"m1",-0.599942315580711,-0.2,0.269858561618945,24,5,0.5,200,FALSE,TRUE,9000001
"m2",0.444824297167623,0,0.203535710074022,24,5,0.5,200,FALSE,TRUE,9000001
"m3",0.219949523019148,0,0.207195890248715,24,5,0.5,200,FALSE,TRUE,9000001
"m4",-1.46571512024876,-1,0.345547134961266,24,5,0.5,200,FALSE,TRUE,9000001
"p1",-0.269545471622983,-0.2,0.0740608715345846,48,10,0.5,200,FALSE,TRUE,9000001
"p2",0.0517193362486212,0,0.0544231080297394,48,10,0.5,200,FALSE,TRUE,9000001
"p3",0.00222571612736907,0,0.0542541539217974,48,10,0.5,200,FALSE,TRUE,9000001
"p4",-0.997226835179571,-1,0.0783008164367936,48,10,0.5,200,FALSE,TRUE,9000001
"m1",-0.0637199845500369,-0.2,0.0867630838359332,48,10,0.5,200,FALSE,TRUE,9000001
"m2",-0.220509538591833,0,0.066191484258508,48,10,0.5,200,FALSE,TRUE,9000001
"m3",-0.0829937153853197,0,0.0659010118671625,48,10,0.5,200,FALSE,TRUE,9000001
"m4",-0.851941419787582,-1,0.115048627504413,48,10,0.5,200,FALSE,TRUE,9000001
"p1",-0.333395926327225,-0.2,0.2017519195306,24,5,0.5,200,FALSE,FALSE,9000001
"p2",0.00433099004116461,0,0.148039849734986,24,5,0.5,200,FALSE,FALSE,9000001
"p3",0.0624376253566346,0,0.167817483121108,24,5,0.5,200,FALSE,FALSE,9000001
"p4",-0.663613936011553,-1,0.233335688928157,24,5,0.5,200,FALSE,FALSE,9000001
"m1",-0.562333145458775,-0.2,0.270066680218893,24,5,0.5,200,FALSE,FALSE,9000001
"m2",0.116320359967097,0,0.20681794525167,24,5,0.5,200,FALSE,FALSE,9000001
"m3",0.217112059040678,0,0.203536918086084,24,5,0.5,200,FALSE,FALSE,9000001
"m4",-0.904307267051721,-1,0.337931008990767,24,5,0.5,200,FALSE,FALSE,9000001
"p1",-0.147409819976491,-0.2,0.0795085666585271,48,10,0.5,200,FALSE,FALSE,9000001
"p2",-0.107204893241926,0,0.0549084615123493,48,10,0.5,200,FALSE,FALSE,9000001
"p3",-0.0836196082916277,0,0.0549899281979454,48,10,0.5,200,FALSE,FALSE,9000001
"p4",-0.814094796702361,-1,0.0793101994993311,48,10,0.5,200,FALSE,FALSE,9000001
"m1",-0.407234146983308,-0.2,0.0959721570814698,48,10,0.5,200,FALSE,FALSE,9000001
"m2",0.178877893852695,0,0.0671533152780249,48,10,0.5,200,FALSE,FALSE,9000001
"m3",0.111953128400963,0,0.0660532648319858,48,10,0.5,200,FALSE,FALSE,9000001
"m4",-1.21161193719906,-1,0.116273860716885,48,10,0.5,200,FALSE,FALSE,9000001
"p1",-0.0901683372332882,-0.5,0.205916338987896,24,5,0.5,200,TRUE,TRUE,9000002
"p2",-0.251939318913827,0,0.173425384352502,24,5,0.5,200,TRUE,TRUE,9000002
"p3",-0.296551636257731,0,0.165086423018454,24,5,0.5,200,TRUE,TRUE,9000002
"p4",0.400934359836318,0,0.235362346294926,24,5,0.5,200,TRUE,TRUE,9000002
"m1",-0.229070748265581,-0.5,0.246277717192675,24,5,0.5,200,TRUE,TRUE,9000002
"m2",-0.160444384952232,0,0.211367259771196,24,5,0.5,200,TRUE,TRUE,9000002
"m3",-0.0116633390103862,0,0.197288484136824,24,5,0.5,200,TRUE,TRUE,9000002
"m4",0.0354096269227559,0,0.283803947630229,24,5,0.5,200,TRUE,TRUE,9000002
