"param","est","true","sd","n","tau","EY","B","H0A","H0Y","seed"
"p1",-0.568599125952524,-0.5,0.198504148004832,24,5,0.5,200,TRUE,TRUE,4000001
"p2",-0.0868233413955867,0,0.155711239480942,24,5,0.5,200,TRUE,TRUE,4000001
"p3",0.328698313257436,0,0.158664938812997,24,5,0.5,200,TRUE,TRUE,4000001
"p4",-0.225152541125335,0,0.229584767891968,24,5,0.5,200,TRUE,TRUE,4000001
"m1",-0.279621604017053,-0.5,0.243963835427762,24,5,0.5,200,TRUE,TRUE,4000001
"m2",-0.105857215180955,0,0.193223332113764,24,5,0.5,200,TRUE,TRUE,4000001
"m3",-0.0122241453036637,0,0.195702336301566,24,5,0.5,200,TRUE,TRUE,4000001
"m4",-0.0248299148887468,0,0.286335957599699,24,5,0.5,200,TRUE,TRUE,4000001
"p1",-0.451793116469372,-0.5,0.0701401497933156,48,10,0.5,200,TRUE,TRUE,4000001
"p2",-0.00741307096833628,0,0.0531658492830463,48,10,0.5,200,TRUE,TRUE,4000001
"p3",0.0195101897631636,0,0.0523653712396486,48,10,0.5,200,TRUE,TRUE,4000001
"p4",-0.0414489930666703,0,0.0739895343130663,48,10,0.5,200,TRUE,TRUE,4000001
"m1",-0.66893303559999,-0.5,0.0919235848451553,48,10,0.5,200,TRUE,TRUE,4000001
"m2",0.110664998888692,0,0.0685781258186009,48,10,0.5,200,TRUE,TRUE,4000001
"m3",0.0626174959647241,0,0.0674607255728076,48,10,0.5,200,TRUE,TRUE,4000001
"m4",-0.0757634796504222,0,0.0952819118235943,48,10,0.5,200,TRUE,TRUE,4000001
"p1",-0.079899937883236,-0.2,0.206643188293963,24,5,0.5,200,FALSE,TRUE,4000001
"p2",-0.263176313468423,0,0.16282917454981,24,5,0.5,200,FALSE,TRUE,4000001
"p3",0.109945470330777,0,0.16501595086272,24,5,0.5,200,FALSE,TRUE,4000001
"p4",-0.834709574994515,-1,0.244755805310416,24,5,0.5,200,FALSE,TRUE,4000001
"m1",-0.180794857935831,-0.2,0.230400412774868,24,5,0.5,200,FALSE,TRUE,4000001
"m2",0.0561970221050796,0,0.18474310275049,24,5,0.5,200,FALSE,TRUE,4000001
"m3",0.140856219571844,0,0.188526241361294,24,5,0.5,200,FALSE,TRUE,4000001
"m4",-1.00861663406304,-1,0.320269771303012,24,5,0.5,200,FALSE,TRUE,4000001
"p1",-0.118685726223865,-0.2,0.0727200708017399,48,10,0.5,200,FALSE,TRUE,4000001
"p2",-0.0197990289148425,0,0.0549328373637927,48,10,0.5,200,FALSE,TRUE,4000001
"p3",-0.00342773507508907,0,0.054301607056014,48,10,0.5,200,FALSE,TRUE,4000001
"p4",-1.05272668783925,-1,0.079319158662821,48,10,0.5,200,FALSE,TRUE,4000001
"m1",-0.361420699119483,-0.2,0.088710377586408,48,10,0.5,200,FALSE,TRUE,4000001
"m2",0.114230353999225,0,0.0674650271086924,48,10,0.5,200,FALSE,TRUE,4000001
"m3",0.0411564039367241,0,0.0661345643618894,48,10,0.5,200,FALSE,TRUE,4000001
"m4",-1.050022058231,-1,0.112357827843225,48,10,0.5,200,FALSE,TRUE,4000001
"p1",-0.590916314894781,-0.2,0.286431550828454,24,5,0.5,200,FALSE,FALSE,4000001
"p2",0.234648326603642,0,0.186765135248092,24,5,0.5,200,FALSE,FALSE,4000001
"p3",0.30398632610481,0,0.178093356366373,24,5,0.5,200,FALSE,FALSE,4000001
"p4",-1.13123502065765,-1,0.248869555582018,24,5,0.5,200,FALSE,FALSE,4000001
"m1",0.0714063722086513,-0.2,0.346570875969198,24,5,0.5,200,FALSE,FALSE,4000001
"m2",-0.24930173433719,0,0.224062523734102,24,5,0.5,200,FALSE,FALSE,4000001
"m3",-0.2454911797187,0,0.222394584412048,24,5,0.5,200,FALSE,FALSE,4000001
"m4",-0.477049895264751,-1,0.342623925346665,24,5,0.5,200,FALSE,FALSE,4000001
"p1",-0.370483387145638,-0.2,0.0812082734544013,48,10,0.5,200,FALSE,FALSE,4000001
"p2",0.106878316352434,0,0.0557315024819153,48,10,0.5,200,FALSE,FALSE,4000001
"p3",0.0490851186847013,0,0.0549765612193085,48,10,0.5,200,FALSE,FALSE,4000001
"p4",-0.97903815871166,-1,0.0791896385619916,48,10,0.5,200,FALSE,FALSE,4000001
"m1",-0.250267850450349,-0.2,0.100411762379482,48,10,0.5,200,FALSE,FALSE,4000001
"m2",-0.0279420910255744,0,0.0689179806008882,48,10,0.5,200,FALSE,FALSE,4000001
"m3",0.105069909598919,0,0.0668713919872415,48,10,0.5,200,FALSE,FALSE,4000001
"m4",-1.10560964239567,-1,0.115547848771155,48,10,0.5,200,FALSE,FALSE,4000001
"p1",-0.570870165367344,-0.5,0.189515659779961,24,5,0.5,200,TRUE,TRUE,4000002
"p2",0.306712054197112,0,0.156301694206181,24,5,0.5,200,TRUE,TRUE,4000002
"p3",0.0642104832106117,0,0.167963611174575,24,5,0.5,200,TRUE,TRUE,4000002
"p4",-0.295372742722094,0,0.23635294511608,24,5,0.5,200,TRUE,TRUE,4000002
"m1",-0.850054437000721,-0.5,0.249745499291141,24,5,0.5,200,TRUE,TRUE,4000002
"m2",0.214927903533484,0,0.190589511614842,24,5,0.5,200,TRUE,TRUE,4000002
"m3",0.231272553700825,0,0.212064408585593,24,5,0.5,200,TRUE,TRUE,4000002
"m4",-0.362947124658428,0,0.291537549715412,24,5,0.5,200,TRUE,TRUE,4000002
"p1",-0.466852167975061,-0.5,0.0688411529865686,48,10,0.5,200,TRUE,TRUE,4000002
"p2",0.0781007340921422,0,0.0547420488914345,48,10,0.5,200,TRUE,TRUE,4000002
"p3",0.00990846805949558,0,0.0528094563517487,48,10,0.5,200,TRUE,TRUE,4000002
"p4",-0.17212303875995,0,0.0746758459815876,48,10,0.5,200,TRUE,TRUE,4000002
"m1",-0.276661896317979,-0.5,0.0827836378278737,48,10,0.5,200,TRUE,TRUE,4000002
"m2",-0.233354703492045,0,0.0675305858165893,48,10,0.5,200,TRUE,TRUE,4000002
"m3",-0.102916552383622,0,0.0643860876197155,48,10,0.5,200,TRUE,TRUE,4000002
"m4",0.215353896861891,0,0.0930741750607096,48,10,0.5,200,TRUE,TRUE,4000002
"p1",-0.230176839815551,-0.2,0.195917821499478,24,5,0.5,200,FALSE,TRUE,4000002
"p2",0.226128598867771,0,0.159976654756645,24,5,0.5,200,FALSE,TRUE,4000002
"p3",0.0668709740341091,0,0.176152640955673,24,5,0.5,200,FALSE,TRUE,4000002
"p4",-1.31679121235773,-1,0.254150102305253,24,5,0.5,200,FALSE,TRUE,4000002
"m1",-0.620189352979461,-0.2,0.242744926738848,24,5,0.5,200,FALSE,TRUE,4000002
"m2",0.127305962982846,0,0.194091343381898,24,5,0.5,200,FALSE,TRUE,4000002
"m3",0.403734846568315,0,0.209942735487248,24,5,0.5,200,FALSE,TRUE,4000002
"m4",-1.8077310610238,-1,0.386308487028942,24,5,0.5,200,FALSE,TRUE,4000002
"p1",-0.231844604539388,-0.2,0.0717796369097873,48,10,0.5,200,FALSE,TRUE,4000002
"p2",0.0891155087568494,0,0.0571547790407683,48,10,0.5,200,FALSE,TRUE,4000002
"p3",0.0416504017272934,0,0.0550029810677287,48,10,0.5,200,FALSE,TRUE,4000002
"p4",-1.16469869615193,-1,0.0807401481197542,48,10,0.5,200,FALSE,TRUE,4000002
"m1",0.0270576045378207,-0.2,0.0819904450460102,48,10,0.5,200,FALSE,TRUE,4000002
"m2",-0.163314848653995,0,0.0665371322085275,48,10,0.5,200,FALSE,TRUE,4000002
"m3",-0.121109491378791,0,0.0641535955658834,48,10,0.5,200,FALSE,TRUE,4000002
"m4",-0.873865631452074,-1,0.11053860957498,48,10,0.5,200,FALSE,TRUE,4000002
"p1",-0.329136249768626,-0.2,0.261719670249932,24,5,0.5,200,FALSE,FALSE,4000002
"p2",0.20558923514319,0,0.182379599721156,24,5,0.5,200,FALSE,FALSE,4000002
"p3",0.0848662585493438,0,0.171848070085634,24,5,0.5,200,FALSE,FALSE,4000002
"p4",-1.09082731064671,-1,0.248343630774743,24,5,0.5,200,FALSE,FALSE,4000002
"m1",-0.176971446210426,-0.2,0.307050607774083,24,5,0.5,200,FALSE,FALSE,4000002
"m2",-0.316965763569611,0,0.208615952585049,24,5,0.5,200,FALSE,FALSE,4000002
"m3",0.110515857879615,0,0.20263077693732,24,5,0.5,200,FALSE,FALSE,4000002
"m4",-1.02268923941456,-1,0.340015797834133,24,5,0.5,200,FALSE,FALSE,4000002
"p1",-0.147061020059633,-0.2,0.0830773901278483,48,10,0.5,200,FALSE,FALSE,4000002
"p2",-0.0130169323584928,0,0.0557455072168745,48,10,0.5,200,FALSE,FALSE,4000002
"p3",-0.00482646327426102,0,0.0557528384847717,48,10,0.5,200,FALSE,FALSE,4000002
"p4",-1.00986878668386,-1,0.079726781599819,48,10,0.5,200,FALSE,FALSE,4000002
"m1",-0.0956762067982244,-0.2,0.0947999570236021,48,10,0.5,200,FALSE,FALSE,4000002
"m2",-0.0962119459600904,0,0.0654767203840214,48,10,0.5,200,FALSE,FALSE,4000002
"m3",-0.00711612299877394,0,0.0638282197700392,48,10,0.5,200,FALSE,FALSE,4000002
"m4",-0.969383344649173,-1,0.113308993909927,48,10,0.5,200,FALSE,FALSE,4000002
"p1",-0.130746462677631,-0.5,0.2083382421441,24,5,0.5,200,TRUE,TRUE,4000003
"p2",-0.223539853931155,0,0.152995190700958,24,5,0.5,200,TRUE,TRUE,4000003
"p3",-0.186470689096792,0,0.156833751847785,24,5,0.5,200,TRUE,TRUE,4000003
"p4",0.102612534783227,0,0.218437171516979,24,5,0.5,200,TRUE,TRUE,4000003
"m1",-0.59874089623725,-0.5,0.273996796859594,24,5,0.5,200,TRUE,TRUE,4000003
"m2",-0.1237539524486,0,0.206869003483863,24,5,0.5,200,TRUE,TRUE,4000003
"m3",0.0946551987953547,0,0.207176752609209,24,5,0.5,200,TRUE,TRUE,4000003
"m4",0.1857951109333,0,0.283410492794661,24,5,0.5,200,TRUE,TRUE,4000003
"p1",-0.60300649589466,-0.5,0.0731695753353678,48,10,0.5,200,TRUE,TRUE,4000003
"p2",0.0794208069195092,0,0.0542818411496171,48,10,0.5,200,TRUE,TRUE,4000003
"p3",0.0814512919539274,0,0.0526813522834924,48,10,0.5,200,TRUE,TRUE,4000003
"p4",-0.0821332461453123,0,0.0736504903909268,48,10,0.5,200,TRUE,TRUE,4000003
"m1",-0.36631798964545,-0.5,0.0900488970489695,48,10,0.5,200,TRUE,TRUE,4000003
"m2",-0.035670367735672,0,0.0681439978231286,48,10,0.5,200,TRUE,TRUE,4000003
"m3",-0.0559144315281935,0,0.0653328585997035,48,10,0.5,200,TRUE,TRUE,4000003
"m4",0.0344448270723157,0,0.0924692118368838,48,10,0.5,200,TRUE,TRUE,4000003
"p1",0.137198375374535,-0.2,0.223324821096982,24,5,0.5,200,FALSE,TRUE,4000003
"p2",-0.0793862376508098,0,0.161440392090088,24,5,0.5,200,FALSE,TRUE,4000003
"p3",-0.136843531314924,0,0.167858853525589,24,5,0.5,200,FALSE,TRUE,4000003
"p4",-1.05148028950414,-1,0.237434694217154,24,5,0.5,200,FALSE,TRUE,4000003
"m1",-0.107063614146673,-0.2,0.254954220799815,24,5,0.5,200,FALSE,TRUE,4000003
"m2",-0.435864986382424,0,0.197202991365732,24,5,0.5,200,FALSE,TRUE,4000003
"m3",0.0152974767196534,0,0.192600672279158,24,5,0.5,200,FALSE,TRUE,4000003
"m4",-0.56566345764806,-1,0.334706810364908,24,5,0.5,200,FALSE,TRUE,4000003
"p1",-0.264041247705625,-0.2,0.0757501621717609,48,10,0.5,200,FALSE,TRUE,4000003
"p2",0.0889350100844825,0,0.0560307300340546,48,10,0.5,200,FALSE,TRUE,4000003
"p3",0.0232681916006849,0,0.0544093669248002,48,10,0.5,200,FALSE,TRUE,4000003
"p4",-1.05584004677146,-1,0.0782924224784132,48,10,0.5,200,FALSE,TRUE,4000003
"m1",-0.0563482687900936,-0.2,0.08782124939166,48,10,0.5,200,FALSE,TRUE,4000003
"m2",-0.0710995137378169,0,0.0672136498207471,48,10,0.5,200,FALSE,TRUE,4000003
"m3",-0.0639239503495581,0,0.0647623084863583,48,10,0.5,200,FALSE,TRUE,4000003
"m4",-0.970710946221629,-1,0.110776662268209,48,10,0.5,200,FALSE,TRUE,4000003
"p1",-0.0856188575596353,-0.2,0.24468370777438,24,5,0.5,200,FALSE,FALSE,4000003
"p2",-0.00318707642898423,0,0.179279030045818,24,5,0.5,200,FALSE,FALSE,4000003
"p3",0.0543134314948276,0,0.166549814521807,24,5,0.5,200,FALSE,FALSE,4000003
"p4",-1.12146319205247,-1,0.239912048802196,24,5,0.5,200,FALSE,FALSE,4000003
